track_name	amplification	deep_deletion
NCOA2	0.02828603435399552	0.0005601194921583271
NFATC2	0.019137415982076175	0.0006534727408513816
NFE2L2	0.009708737864077669	0.0016803584764749813
NFKB2	0.0018670649738610904	0.00289395070948469
NKX2-1	0.0	0.0010268857356235997
NOTCH1	0.009055265123226288	0.0
NOTCH2	0.04051530993278566	0.004200896191187453
NPM1	0.008588498879761016	0.0
NR4A3	0.002707244212098581	0.002333831217326363
NRAS	0.00392083644510829	0.00597460791635549
NSD2	0.009615384615384616	0.00392083644510829
NSD3	0.03902165795369679	0.010922330097087379
NT5C2	0.0014002987303958177	0.003454070201643017
NTRK1	0.0	0.0009335324869305452
NTRK3	0.009055265123226288	0.0010268857356235997
NUP98	0.001773711725168036	0.004294249439880508
NUTM1	0.002147124719940254	0.006441374159820761
OLIG2	0.0028005974607916355	0.0005601194921583271
P2RY8	0.00681478715459298	0.010268857356235997
PABPC1	0.047143390589992534	0.0005601194921583271
PAX3	0.00289395070948469	0.004387602688573563
PAX5	0.0	0.0
PBX1	0.0299663928304705	0.0006534727408513816
PDCD1LG2	0.0	0.008215085884988798
PDGFB	0.004387602688573563	0.001773711725168036
PDGFRA	0.0	0.0009335324869305452
PDGFRB	0.006348020911127707	0.0013069454817027633
PIK3CA	0.0	0.0009335324869305452
PIK3CB	0.0	0.0005601194921583271
PIM1	0.010082150858849889	0.0005601194921583271
PLAG1	0.024085138162808065	0.001773711725168036
PLCG1	0.011109036594473487	0.0008401792382374906
POLQ	0.010548917102315161	0.0011202389843166542
POU2AF1	0.0036407766990291263	0.007748319641523525
POU5F1	0.009522031366691561	0.0013069454817027633
PPM1D	0.0	0.0008401792382374906
PRDM16	0.005881254667662435	0.008308439133681853
PREX2	0.026605675877520538	0.0005601194921583271
PRKACA	0.013722927557879015	0.0014002987303958177
PRKAR1A	0.016616878267363706	0.0007468259895444362
PSIP1	0.006534727408513816	0.006721433905899925
PTK6	0.02371172516803585	0.0011202389843166542
PTPN11	0.004387602688573563	0.0
QKI	0.002707244212098581	0.008775205377147125
RAC1	0.0	0.0011202389843166542
RAD21	0.05414488424197162	0.0
RAF1	0.0	0.0020537714712471995
RAP1GDS1	0.001960418222554145	0.002987303958177745
RARA	0.017830470500373414	0.0020537714712471995
RECQL4	0.05619865571321882	0.0
A1CF	0.00289395070948469	0.003547423450336072
ABL1	0.005041075429424944	0.0026138909634055266
ABL2	0.02231142643764003	0.0004667662434652726
ACKR3	0.002147124719940254	0.009615384615384616
ACVR1	0.0037341299477221808	0.002520537714712472
AFDN	0.004574309185959672	0.00868185212845407
AFF3	0.004667662434652726	0.0008401792382374906
AFF4	0.005321135175504107	0.0031740104555638537
AKT1	0.0	0.00392083644510829
AKT2	0.0	0.0007468259895444362
AKT3	0.0	0.0022404779686333084
ALK	0.0	0.0011202389843166542
APOBEC3B	0.004107542942494399	0.0015870052277819268
AR	0.0	0.0038274831964152352
ARAF	0.008308439133681853	0.0047610156833457805
ARHGAP5	0.008401792382374906	0.0018670649738610904
ARNT	0.041075429424943986	0.00018670649738610905
ATF1	0.004947722180731889	0.0009335324869305452
ATP1A1	0.0047610156833457805	0.006534727408513816
BCL11A	0.007748319641523525	0.0004667662434652726
BCL11B	0.004387602688573563	0.0
BCL2	0.0036407766990291263	0.009708737864077669
BCL2L12	0.005227781926811053	0.0014002987303958177
BCL3	0.011109036594473487	0.0014936519790888724
BCL6	0.0	0.0020537714712471995
BCL9	0.037714712471994025	0.0028005974607916355
BCL9L	0.005321135175504107	0.005041075429424944
BCORL1	0.0048543689320388345	0.0
BIRC3	0.014189693801344288	0.0
BIRC6	0.004294249439880508	0.0012135922330097086
BMPR1A	0.0030806572068707992	0.0
BRAF	0.0	0.0022404779686333084
BRD3	0.005134428678117998	0.00289395070948469
BRD4	0.0	0.0013069454817027633
BTK	0.0038274831964152352	0.0015870052277819268
CACNA1D	0.002147124719940254	0.005507841672890217
CALR	0.013536221060492905	0.0014936519790888724
CARD11	0.0	0.002147124719940254
CBL	0.004574309185959672	0.0
CBLC	0.011202389843166542	0.0014936519790888724
CCND1	0.0	0.0008401792382374906
CCND2	0.01839058999253174	0.0014002987303958177
CCND3	0.0	0.0007468259895444362
CCNE1	0.0	0.0013069454817027633
CCR4	0.003547423450336072	0.0026138909634055266
CCR7	0.01465646004480956	0.0022404779686333084
CD28	0.005694548170276326	0.001960418222554145
CD74	0.006067961165048544	0.0012135922330097086
CD79A	0.006628080657206871	0.0010268857356235997
CD79B	0.016616878267363706	0.0003734129947722181
FLI1	0.005601194921583271	0.008308439133681853
FLT3	0.0075616131441374156	0.0033607169529499626
FLT4	0.010548917102315161	0.0030806572068707992
FOXA1	0.0	0.0
FOXL2	0.017923823749066467	0.0
FOXO1	0.004107542942494399	0.0
FOXO3	0.0047610156833457805	0.009802091112770724
FOXO4	0.00392083644510829	0.0026138909634055266
FOXP1	0.0062546676624346525	0.0
FOXR1	0.005321135175504107	0.005227781926811053
FSTL3	0.0062546676624346525	0.007935026138909633
FUBP1	0.004667662434652726	0.0
GATA1	0.00784167289021658	0.0047610156833457805
GATA2	0.01157580283793876	0.0004667662434652726
GATA3	0.0	0.0
GLI1	0.0	0.0004667662434652726
GNA11	0.004014189693801344	0.0062546676624346525
GNAQ	0.002520537714712472	0.0036407766990291263
GNAS	0.019977595220313667	0.0004667662434652726
GPC3	0.007188200149365198	0.0024271844660194173
GRM3	0.01194921583271098	0.0008401792382374906
H3-3A	0.021564600448095595	0.0014936519790888724
H3-3B	0.01717699775952203	0.0007468259895444362
