# LSV-Names	Median-Attributions	Corrected P-values (FDR <= 1%)
ENSG00000272734	0.002076985092558759	1.9131316233978586e-293
ENSG00000268390	0.0008816359157310369	1.4130944611367218e-281
ENSG00000230590	0.0011766550054229169	1.7702651404676802e-281
ENSG00000225975	0.0008231051602343643	1.7461415551520405e-266
ENSG00000179406	0.0007017056152188576	1.210060074173914e-262
ENSG00000259773	-0.001871883009896912	1.0961307646631528e-259
ENSG00000246985	0.0007901782855426169	1.018448635660278e-246
ENSG00000230258	-0.001557074696156086	3.18801565795745e-241
ENSG00000276846	0.0009857155362325233	6.024531003609834e-240
ENSG00000263923	0.0014154818713264861	1.0071251180886512e-231
ENSG00000245598	0.0007093288163569271	6.948574430719969e-231
ENSG00000267177	-0.0009947655082464296	1.0882137091119682e-229
ENSG00000272690	0.0014937908603927183	2.636607460185427e-227
ENSG00000228709	0.0005471545065783507	1.2113888286791883e-225
ENSG00000203362	-0.0006372307151025836	2.0031407393616544e-225
ENSG00000245146	0.0009421372438931254	7.560179031049304e-225
ENSG00000265413	0.0008537165156600267	1.0365778881912718e-223
ENSG00000271880	0.0005904109636909961	5.623421534584525e-222
ENSG00000236532	0.0006385780672356529	1.1039125344490317e-221
ENSG00000258744	-0.0005649596024935543	5.091183104557977e-221
ENSG00000227374	0.0007435157816306863	1.5857194636029802e-220
ENSG00000234396	0.000647721933907284	8.455553836969495e-220
ENSG00000232104	0.0009603464115649655	1.1120668125008558e-219
ENSG00000227355	0.0007522975483732222	1.541895514794279e-219
ENSG00000259672	0.0009884852445999723	3.792853565253881e-219
ENSG00000245552	0.0013703836256363407	5.698693846904226e-219
ENSG00000259363	0.0007044204328617582	1.4319653659122125e-218
ENSG00000262903	0.000983460864265337	1.261694152112013e-217
ENSG00000246090	0.0014273513815737794	3.951339679471052e-217
ENSG00000256546	0.0007378709408726133	3.853624445599534e-216
ENSG00000235298	0.00039493207389668984	5.998381083819135e-216
ENSG00000259244	0.0006615655844311051	9.778908811923106e-216
ENSG00000273328	0.0008599948098007393	2.0155468602440803e-215
ENSG00000241679	0.0006917117317844935	8.88409477364582e-214
ENSG00000269486	0.0008450015723295576	2.034892157796404e-213
ENSG00000233922	0.0007585989655283953	2.7612767095468125e-213
ENSG00000242474	0.0005845100844102509	4.366118593665943e-212
ENSG00000267322	0.0014645468700683984	4.6887999791044364e-212
ENSG00000227533	0.0009323022713445299	3.6819003246664755e-210
ENSG00000228923	0.0008497611138364096	3.906390956006505e-210
ENSG00000277449	0.0007606183747007787	1.6683148516749814e-209
ENSG00000231768	0.0006353466759226884	3.3692196859628173e-209
ENSG00000226542	0.0014456214985467224	3.4934053900553244e-209
ENSG00000237298	0.0007869957648978148	3.939946651003141e-208
ENSG00000235523	-0.0006867507833471831	2.5074837543001675e-206
ENSG00000261659	-0.0012723225324808647	3.370386636450405e-206
ENSG00000249085	0.0005861006618202869	7.399452757165021e-205
ENSG00000255160	-0.0012803985900606382	1.9248268340899085e-203
ENSG00000276724	0.0011993030766946512	3.5874597160518836e-203
ENSG00000223834	0.0007372655189488291	7.187454862779091e-203
ENSG00000259563	-0.0007045459814337606	5.692417467693627e-202
ENSG00000261187	0.0004428527350088353	3.555993901558922e-201
ENSG00000237595	0.0008155799626157903	3.2239477606287098e-199
ENSG00000226471	0.0007335758144491145	7.599189551758058e-199
ENSG00000277701	0.0008957828119028749	2.7314374650504236e-198
ENSG00000254333	0.0004815963628237399	3.7110211207692765e-198
ENSG00000225811	0.0006058881454670911	4.830991412435953e-198
ENSG00000269956	0.0008943852109960958	1.1697956874850627e-197
ENSG00000270108	0.001284416250109887	1.800904647487811e-197
ENSG00000266013	0.0006477912135941358	1.9390141454072212e-197
ENSG00000262313	0.000845906433552388	8.035595902981604e-197
ENSG00000233527	0.0007142508479009642	1.2376116805509908e-196
ENSG00000230401	-0.0007700279639302585	1.9637500450559888e-196
ENSG00000261118	0.0003771328619032756	7.579085033426851e-196
ENSG00000273148	0.0008203704711931606	1.410815387222924e-195
ENSG00000258556	0.0006626522025458653	3.798105934257911e-195
ENSG00000244198	0.0006043840827329779	6.969860966744477e-195
ENSG00000232160	0.0005841056396081028	1.488274823282326e-194
ENSG00000256433	0.0007701077814706782	1.814060688246303e-194
ENSG00000272970	0.0006790559414092506	3.7047192894221755e-194
ENSG00000229308	0.0009514576839456043	1.939104768926412e-193
ENSG00000255328	0.0005864073590329033	2.0013980361436098e-193
ENSG00000272927	0.0008439656037886136	4.628618336655688e-193
ENSG00000236017	0.0005536161726781417	1.590947042654736e-192
ENSG00000230606	0.000759094906127844	4.788220867629451e-192
ENSG00000272243	0.0012554535139541634	2.8469619054361945e-191
ENSG00000251141	0.0008724500049613539	3.754674476897975e-191
ENSG00000234936	0.0008749980593490211	4.9018267268283806e-191
ENSG00000249349	-0.0005255775281484172	1.259758429854227e-190
ENSG00000278467	0.0009204787579661736	7.890828747357046e-189
ENSG00000280927	-0.0003046821422224492	1.0602571415749368e-188
ENSG00000248757	0.0008699673478150257	1.0868155504886659e-188
ENSG00000236819	0.000550816613817069	1.8856709015097938e-188
ENSG00000248049	0.00042817451847872526	2.149700213920584e-188
ENSG00000250643	0.001080143516690376	1.9232231176735104e-187
ENSG00000226497	-0.0017008032551096906	2.2738190714189383e-187
ENSG00000231770	0.001183453365543785	4.1778956654736964e-187
ENSG00000259520	-0.000541573516612663	9.845365594275538e-187
ENSG00000276505	0.000774586646942579	1.324862378985809e-186
ENSG00000228280	0.0013685094555795619	1.5310221175130042e-186
ENSG00000248783	-0.0007128069953568628	1.6231161695072563e-186
ENSG00000241288	0.0011141030136597738	2.09990143468149e-186
ENSG00000234772	0.0009546733642794729	6.773480055390395e-186
ENSG00000260657	0.00037298694910321633	1.5403343799058218e-185
ENSG00000260859	0.001584628218578924	4.5005743999431055e-185
ENSG00000243187	0.0015764889424901918	4.5201373166777e-185
ENSG00000281920	0.0004703097737453934	9.589373941996687e-185
ENSG00000197813	0.000637067402045999	1.0871441283997958e-184
ENSG00000267254	0.0005031024231517024	1.643065204464941e-184
ENSG00000269895	0.001165983091348255	4.2803189364318996e-184
ENSG00000180769	0.0006104577056539547	5.749481484878097e-184
ENSG00000251413	-0.0007622621766552277	8.098027076792746e-184
ENSG00000267454	0.00023241818205777456	1.0321698635488082e-183
ENSG00000267696	0.001179179915412141	1.1298916196735806e-183
ENSG00000263011	-0.0009612583625979367	3.176434657778939e-183
ENSG00000237400	0.0007309785053464378	3.783543697975631e-183
ENSG00000153363	0.0005788956939259384	5.51661501660931e-183
ENSG00000260236	0.0005068974908106687	6.647820488650131e-183
ENSG00000268836	-0.0006229887316570594	9.386339519765111e-183
ENSG00000271009	0.001053948167934793	1.2023895096744667e-182
ENSG00000269397	0.0006561345126007161	1.5421452927857243e-182
ENSG00000253369	0.0006114853624098113	1.9778806759652748e-182
ENSG00000267272	0.0006062705939374753	4.371348659684964e-182
ENSG00000251562	0.0012799023403683937	6.755443694264785e-182
ENSG00000249846	0.0008005824099021925	1.3325876771554376e-181
ENSG00000254287	-0.001016081133258732	2.7027547136546787e-181
ENSG00000234684	0.0006944256763703302	3.0351596379234805e-181
ENSG00000266904	0.0007390779888987556	3.4346769019434237e-181
