track_name	passenger	driver
ANKRD18A	0.0077668041039409335	0.0
SPTBN5	0.030012465241154473	0.0
KIF13A	0.023300412311822803	0.0
SOHLH1	0.004602550580113146	0.0
FAM126A	0.0060408476363985044	0.0
CWC22	0.012081695272797009	0.0
FAM76A	0.0032601399942468116	0.0
ARHGAP27	0.01064339821651165	0.0
UBN2	0.015821267619138938	0.0
FER1L5	0.0	0.0
CDK5RAP2	0.0212867964330233	0.0
MAP7D2	0.01332821938824432	0.0
AP3B2	0.015629494678300892	0.0
DIP2C	0.023396298782241826	0.0
PPP1R36	0.0075750311631028865	0.0
MAT1A	0.008246236456036053	0.0
CARD14	0.011506376450282865	0.0
NEK1	0.013424105858663342	0.0
DPY19L1	0.008725668808131172	0.0
SLAMF1	0.007862690574359957	0.0
LINC00442	0.0	0.0
GTF2IRD1	0.013424105858663342	0.0
COL4A5	0.03269728641288714	0.0
SOS2	0.017643110557100394	0.0
BMP6	0.00939687410106434	0.0
CLC	0.0032601399942468116	0.0
AICDA	0.006136734106817528	0.0
CLCN4	0.012752900565730176	0.0
COL22A1	0.04928564579537827	0.0
IZUMO2	0.004890209991370218	0.0
CA5B	0.004602550580113146	0.0
RAPGEF4	0.015629494678300892	0.0
MAK16	0.004986096461789241	0.0
GOLGA2P5	0.0	0.0
SLC22A1	0.007191485281426791	0.0
PRICKLE3	0.008438009396874101	0.0
IGF2	0.004410777639275098	0.0
BAZ2B	0.030108351711573497	0.0
SHROOM4	0.023588071723079872	0.0
BRWD1	0.02914948700738326	0.0
CNBD2	0.010355738805254578	0.0
COLEC10	0.006616166458912647	0.0
ITGAV	0.015245948796624796	0.0
FAM81B	0.008821555278550197	0.0
CEP290	0.027615303480678876	0.0
POLA1	0.016204813500815034	0.0
COLGALT2	0.01141048997986384	0.0
SULT4A1	0.004986096461789241	0.0
CCDC146	0.01457474350369163	0.0
AFAP1L2	0.01016396586441653	0.0
SCN4A	0.028861827596126186	0.0
RIPOR2	0.01332821938824432	0.0
CDH23	0.03940933934221881	0.0
CCDC116	0.009492760571483363	0.0
DHTKD1	0.011794035861539936	0.0
TRMT13	0.008629782337712149	0.0
TMC5	0.019177294083804777	0.0
GLCCI1	0.006807939399750695	0.0
ABLIM3	0.01332821938824432	0.0
PLD1	0.01783488349793844	0.0
METTL25	0.008533895867293124	0.0
INTS2	0.016396586441653083	0.0
COL4A3	0.02675232524690766	0.0
HAPLN3	0.006616166458912647	0.0
RAB28	0.004027231757599003	0.0
CCM2	0.006232620577236552	0.0
EXOC6B	0.01112283056860677	0.0
SHANK3	0.012561127624892128	0.0
BICC1	0.017738997027519417	0.0
TJP3	0.01361587879950139	0.0
FBXL2	0.005849074695560457	0.0
LTF	0.013040559976987246	0.0
SRRM3	0.003931345287179979	0.0
TEX9	0.005081982932208265	0.0
LUZP1	0.012944673506568223	0.0
GTF2IRD2B	0.0010547511746092626	0.0
TPTEP2-CSNK1E	0.0	0.0
CCL23	0.0035477994055038834	0.0
LPA	0.03557388052545786	0.0
ABCA2	0.020807364080928183	0.0
FOLR3	0.006712052929331671	0.0
TTC28	0.011889922331958961	0.0
MIA2	0.02301275290056573	0.0
DOCK10	0.03317671876498226	0.0
AP1S2	0.0026848211717326684	0.0
KNDC1	0.024163390545594018	0.0
RNF213	0.045833732860293415	0.0
HINT1	0.0014382970562853582	0.0
TEC	0.010355738805254578	0.0
ANKRD7	0.006136734106817528	0.0
CFAP74	0.0025889347013136445	0.0
KIF2A	0.008342122926455078	0.0
CEMIP	0.01975261290631892	0.0
LRP2	0.07277783104803912	0.0
SLC17A4	0.012465241154473105	0.0
KLHL28	0.009300987630645316	0.0
UCP3	0.004890209991370218	0.0
ITGB7	0.007862690574359957	0.0
CCDC42	0.008533895867293124	0.0
SNCAIP	0.020711477610509156	0.0
DLEC1	0.0212867964330233	0.0
SYCP1	0.021382682903442325	0.0
ASB11	0.006712052929331671	0.0
RUFY3	0.00939687410106434	0.0
ADGRF4	0.015054175855786748	0.0
IQCF5	0.0005753188225141433	0.0
PLAC9P1	0.0	0.0
PXDNL	0.047559689327835844	0.0
C5	0.018506088790871608	0.0
C16ORF97	0.0	0.0
ITPR1	0.03317671876498226	0.0
ATM	0.028861827596126186	0.020807364080928183
CCDC102B	0.015150062326205773	0.0
RSPH10B	0.008054463515198005	0.0
TENT4A	0.011218717039025794	0.0
TTC9B	0.0014382970562853582	0.0
SEMA7A	0.008821555278550197	0.0
SLC26A8	0.014191197622015534	0.0
DLGAP2	0.02282097995972768	0.0
CD244	0.008438009396874101	0.0
NLRC5	0.025697574072298397	0.0
ERLIN1	0.004027231757599003	0.0
SLC38A4	0.011889922331958961	0.0
COL9A3	0.012081695272797009	0.0
ACSS3	0.01879374820212868	0.0
RBBP6	0.025793460542717424	0.0
KIF17	0.017738997027519417	0.0
PTPN21	0.015917154089557965	0.0
IFT172	0.021478569373861348	0.0
CNTNAP4	0.03403969699875348	0.0
ATL3	0.005849074695560457	0.0
ABTB2	0.010739284686930674	0.0
TTC34	0.0	0.0
MYCBP2	0.04775146226867389	0.0
AR	0.015245948796624796	0.00019177294083804776
BMPR1B	0.008342122926455078	0.0
ANKRD13B	0.007095598811007767	0.0
FGD5	0.02282097995972768	0.0
PRR22	0.004123118228018027	0.0
PRPF39	0.0077668041039409335	0.0
ITGA1	0.015341835267043821	0.0
TNS1	0.02665643877648864	0.0
ITFG2	0.006232620577236552	0.0
CCDC105	0.009205101160226293	0.0
CYB5R4	0.009013328219388245	0.0
FRYL	0.03221785406079202	0.0
